,Title,Runtime (mins),Year,Release Date,IMDb Rating,Num Votes,Rotten Tomatoes Rating,Metascore,Box Office
4926,Glory Daze,100 min,1995,27 Sep 1996,5.6,"3,203",N/A,N/A,N/A
4927,The Acid House,111 min,1998,01 Jan 1999,6.3,"6,659",45%,55,N/A
4928,Black Mask,99 min,1996,14 May 1999,6.1,"10,413",48%,N/A,N/A
4929,Bliss,103 min,1997,14 Apr 1997,6.1,"1,914",46%,N/A,N/A
4930,In the Company of Men,97 min,1997,01 Aug 1997,7.2,"12,448",89%,81,N/A
4931,Slums of Beverly Hills,91 min,1998,11 Sep 1998,6.6,"11,035",80%,69,N/A
4932,The House of Yes,85 min,1997,10 Oct 1997,6.6,"7,230",62%,54,N/A
4933,War of the Buttons,94 min,1994,29 Sep 1995,7.5,"3,655",N/A,N/A,N/A
4934,Albino Alligator,97 min,1996,17 Jan 1997,6.1,"7,267",50%,48,N/A
4935,Land and Freedom,109 min,1995,22 Mar 1996,7.6,"9,261",77%,N/A,N/A
4936,Smilla's Sense of Snow,121 min,1997,28 Feb 1997,6.4,"12,886",52%,45,N/A
4937,Cabin Boy,80 min,1994,07 Jan 1994,5.2,"7,727",46%,21,N/A
4938,Get Real,108 min,1998,30 Apr 1999,7.6,"11,761",79%,N/A,N/A
4939,The Guyver,88 min,1991,03 Jun 1992,4.9,"4,290",N/A,N/A,N/A
4940,Frankenhooker,85 min,1990,01 Jun 1990,6.1,"7,818",62%,N/A,N/A
4941,M. Butterfly,101 min,1993,01 Oct 1993,6.8,"7,940",N/A,43,N/A
4942,Class of 1999,99 min,1990,11 May 1990,5.9,"5,927",67%,N/A,N/A
4943,Shakes the Clown,87 min,1991,13 Mar 1992,5.6,"4,262",38%,N/A,N/A
4944,Flirting,99 min,1991,14 Nov 1992,7.3,"5,372",96%,N/A,N/A
4945,White Hunter Black Heart,112 min,1990,14 Sep 1990,6.7,"10,100",88%,N/A,N/A
4946,Where the Day Takes You,105 min,1992,11 Sep 1992,6.8,"2,919",80%,N/A,N/A
4947,Alice,106 min,1990,10 Jan 1991,6.6,"12,286",75%,67,N/A
4948,Romeo Is Bleeding,110 min,1993,04 Feb 1994,6.6,"12,136",22%,N/A,N/A
4949,Kafka,98 min,1991,15 Nov 1991,6.9,"8,868",N/A,46,N/A
4950,Army of One,106 min,1993,27 Mar 1993,5.7,"4,827",N/A,N/A,N/A
4951,Dogfight,94 min,1991,04 Oct 1991,7.5,"7,544",78%,N/A,N/A
4952,Repossessed,80 min,1990,14 Sep 1990,4.8,"7,517",0%,N/A,N/A
4953,The Perils of Gwendoline in the Land of the Yik Yak,87 min,1984,25 Jan 1985,5.2,"2,186",N/A,N/A,N/A
4954,Racing with the Moon,108 min,1984,23 Mar 1984,6.8,"3,634",60%,N/A,N/A
4955,Crimewave,83 min,1985,25 Apr 1986,5.8,"4,693",N/A,34,N/A
4956,Amazon Women on the Moon,85 min,1987,18 Sep 1987,6.2,"9,382",59%,N/A,"$548,696"
4957,When the Wind Blows,84 min,1986,11 Mar 1988,7.8,"8,669",83%,N/A,N/A
4958,Fright Night Part 2,104 min,1988,19 May 1989,5.9,"10,243",25%,N/A,N/A
4959,The Lair of the White Worm,93 min,1988,21 Oct 1988,5.9,"8,788",64%,N/A,N/A
4960,Some Girls,94 min,1988,09 Sep 1988,5.9,"2,629",50%,N/A,N/A
4961,Crimes of Passion,107 min,1984,19 Oct 1984,6.3,"5,751",36%,N/A,N/A
4962,Reform School Girls,94 min,1986,22 Aug 1986,5.2,"1,949",38%,N/A,N/A
4963,The Journey of Natty Gann,101 min,1985,27 Sep 1985,7.0,"4,578",100%,N/A,N/A
4964,Hell Comes to Frogtown,86 min,1988,01 Jan 1988,5.5,"4,116",63%,N/A,N/A
4965,A Midsummer Night's Sex Comedy,88 min,1982,16 Jul 1982,6.7,"17,124",75%,51,N/A
4966,The Flight of Dragons,95 min,1982,19 Dec 1984,7.8,"4,899",N/A,N/A,N/A
4967,Mother's Day,91 min,1980,19 Sep 1980,5.4,"3,974",42%,N/A,N/A
4968,Dead & Buried,94 min,1981,09 Oct 1981,6.6,"8,629",75%,N/A,N/A
4969,The Island,109 min,1980,13 Jun 1980,5.3,"3,450",40%,N/A,N/A
4970,Neighbors,94 min,1981,18 Dec 1981,5.6,"6,864",63%,47,N/A
4971,Alligator,91 min,1980,14 Nov 1980,5.9,"9,316",75%,N/A,N/A
4972,Xtro,84 min,1982,07 Jan 1983,5.6,"5,216",43%,N/A,N/A
4973,The Hand,104 min,1981,24 Apr 1981,5.4,"4,996",13%,N/A,N/A
4974,Tarzan the Ape Man,115 min,1981,24 Jul 1981,3.3,"4,829",11%,24,N/A
4975,Ghost Story,110 min,1981,18 Dec 1981,6.3,"6,785",39%,N/A,N/A
4976,ffolkes,95 min,1980,18 Apr 1980,6.4,"4,082",33%,N/A,N/A
4977,Prom Night,92 min,1980,18 Jul 1980,5.4,"13,096",45%,45,N/A
4978,Shock Treatment,94 min,1981,30 Oct 1981,5.8,"4,082",50%,36,N/A
4979,The Pirates of Penzance,112 min,1983,18 Feb 1983,7.2,"2,971",81%,66,N/A
4980,Condorman,90 min,1981,07 Aug 1981,5.8,"4,215",25%,N/A,N/A
4981,"Ilsa, Harem Keeper of the Oil Sheiks",85 min,1976,01 Mar 1976,5.2,"2,370",N/A,N/A,N/A
4982,"Watch Out, We're Mad",101 min,1974,01 May 1976,7.5,"9,534",N/A,N/A,N/A
4983,Where the Red Fern Grows,97 min,1974,21 Jun 1974,6.9,"2,723",N/A,N/A,N/A
4984,Alice Sweet Alice,98 min,1976,13 Nov 1976,6.5,"7,948",80%,67,N/A
4985,Rabid,91 min,1977,08 Apr 1977,6.4,"13,380",71%,N/A,N/A
4986,Black Moon,95 min,1975,24 Sep 1975,6.3,"4,343",50%,N/A,N/A
4987,The Golden Voyage of Sinbad,105 min,1973,25 Jan 1974,6.8,"7,396",73%,N/A,N/A
4988,The Mack,110 min,1973,04 Apr 1973,6.8,"2,437",N/A,N/A,N/A
4989,The Land That Time Forgot,91 min,1974,13 Aug 1975,5.7,"4,934",46%,N/A,N/A
4990,Airport 1975,107 min,1974,18 Oct 1974,5.6,"8,667",29%,50,N/A
4991,The Lords of Flatbush,86 min,1974,01 May 1975,5.8,"3,100",67%,53,N/A
4992,The Front Page,105 min,1974,18 Dec 1974,7.3,"10,989",68%,N/A,N/A
4993,Sssssss,99 min,1973,01 Jul 1973,5.4,"2,990",30%,N/A,N/A
4994,Breezy,106 min,1973,09 Mar 1974,7.0,"3,855",N/A,68,N/A
4995,Coffy,90 min,1973,01 May 1973,6.9,"8,396",79%,N/A,N/A
4996,Sacrifice!,93 min,1972,23 May 1973,5.5,"1,582",N/A,N/A,N/A
4997,Black Emanuelle,91 min,1975,01 Oct 1976,4.6,"1,067",N/A,N/A,N/A
4998,The Bingo Long Traveling All-Stars & Motor Kings,110 min,1976,17 Nov 1976,6.9,"1,395",87%,N/A,N/A
4999,Up!,80 min,1976,07 Dec 1983,6.0,"2,507",N/A,N/A,N/A
5000,Airport '77,114 min,1977,11 Mar 1977,5.7,"8,614",N/A,N/A,N/A
5001,Orca,92 min,1977,22 Jul 1977,5.7,"9,449",7%,27,N/A
5002,Demon Seed,94 min,1977,15 Apr 1977,6.3,"7,296",69%,N/A,N/A
5003,Big Wednesday,120 min,1978,03 Oct 1978,7.3,"5,512",70%,N/A,N/A
5004,Return from Witch Mountain,95 min,1978,10 Mar 1978,5.9,"3,943",50%,N/A,N/A
5005,Immoral Tales,103 min,1973,28 Aug 1974,5.7,"3,401",33%,N/A,N/A
5006,Paradise Alley,107 min,1978,22 Sep 1978,5.8,"4,205",N/A,53,N/A
5007,The In-Laws,103 min,1979,12 Sep 1979,7.3,"6,830",90%,N/A,N/A
5008,The Marriage of Maria Braun,120 min,1978,23 Mar 1979,7.9,"10,745",93%,N/A,N/A
5009,Evil Under the Sun,117 min,1982,05 Mar 1982,7.1,"11,932",86%,61,N/A
5010,The Sword and the Sorcerer,99 min,1982,30 Apr 1982,5.6,"5,133",67%,39,N/A
5011,Things Are Tough All Over,90 min,1982,04 Aug 1982,6.0,"2,783",N/A,40,N/A
5012,The Lonely Lady,92 min,1983,30 Sep 1983,2.6,799,0%,N/A,N/A
5013,Spacehunter: Adventures in the Forbidden Zone,90 min,1983,20 May 1983,5.4,"4,827",18%,N/A,N/A
5014,Under Fire,128 min,1983,21 Oct 1983,7.1,"6,298",89%,N/A,N/A
5015,The Pope of Greenwich Village,121 min,1984,22 Jun 1984,6.7,"7,013",90%,58,N/A
5016,The Razor's Edge,128 min,1984,19 Oct 1984,6.6,"4,327",50%,N/A,N/A
5017,Rhinestone,111 min,1984,22 Jun 1984,3.8,"6,339",15%,N/A,N/A
5018,The Care Bears Movie,77 min,1985,29 Mar 1985,5.6,"4,863",N/A,N/A,N/A
5019,Gotcha!,101 min,1985,03 May 1985,6.2,"6,289",36%,38,N/A
5020,Transylvania 6-5000,93 min,1985,08 Nov 1985,4.9,"5,743",20%,N/A,N/A
5021,Volunteers,107 min,1985,16 Aug 1985,5.5,"7,856",58%,55,N/A
5022,The Manhattan Project,117 min,1986,13 Jun 1986,6.1,"5,004",47%,61,N/A
5023,No Mercy,106 min,1986,19 Dec 1986,5.7,"6,130",21%,N/A,N/A
5024,Nothing in Common,118 min,1986,30 Jul 1986,5.9,"5,880",57%,62,N/A
5025,Power,111 min,1986,31 Jan 1986,5.7,"2,493",50%,N/A,N/A
5026,The Bedroom Window,112 min,1987,16 Jan 1987,6.4,"3,992",81%,N/A,N/A
5027,Ishtar,107 min,1987,15 May 1987,4.3,"9,576",38%,52,N/A
5028,Someone to Watch Over Me,106 min,1987,09 Oct 1987,6.1,"8,610",70%,N/A,N/A
5029,Who's That Girl,92 min,1987,07 Aug 1987,4.7,"8,802",29%,N/A,N/A
5030,The Accidental Tourist,121 min,1988,06 Jan 1989,6.8,"13,794",80%,53,N/A
5031,Cocoon: The Return,116 min,1988,23 Nov 1988,5.4,"14,293",33%,45,N/A
5032,Satisfaction,92 min,1988,12 Feb 1988,4.8,"3,141",N/A,44,N/A
5033,Cannonball Fever,94 min,1989,21 Apr 1989,4.4,"2,820",0%,N/A,N/A
5034,Crazy People,90 min,1990,13 Apr 1990,5.9,"3,862",37%,N/A,N/A
5035,Ernest Goes to Jail,81 min,1990,06 Apr 1990,5.4,"8,339",13%,40,N/A
5036,Graveyard Shift,89 min,1990,26 Oct 1990,4.8,"8,667",13%,28,N/A
5037,She's Out of Control,90 min,1989,14 Apr 1989,5.3,"3,612",11%,N/A,N/A
5038,Skin Deep,97 min,1989,03 Mar 1989,6.1,"3,466",33%,N/A,N/A
5039,Who's Harry Crumb?,94 min,1989,03 Feb 1989,5.8,"14,380",27%,44,N/A
5040,Miami Blues,97 min,1990,20 Apr 1990,6.4,"7,156",81%,72,N/A
5041,Stella,109 min,1990,02 Feb 1990,6.1,"2,167",N/A,45,N/A
5042,Guilty by Suspicion,105 min,1991,15 Mar 1991,6.5,"7,114",65%,64,N/A
5043,If Looks Could Kill,88 min,1991,15 Mar 1991,5.7,"6,024",29%,N/A,N/A
5044,Madonna: Truth or Dare,120 min,1991,24 May 1991,6.2,"8,273",85%,N/A,N/A
5045,Run,91 min,1991,01 Feb 1991,6.2,"2,329",N/A,N/A,N/A
5046,Deceived,104 min,1991,27 Sep 1991,6.2,"6,083",39%,N/A,N/A
5047,Other People's Money,103 min,1991,18 Oct 1991,6.1,"7,359",31%,N/A,N/A
5048,Diggstown,98 min,1992,14 Aug 1992,7.0,"6,423",57%,N/A,N/A
5049,Happily Ever After,75 min,1990,28 May 1993,5.1,"1,972",N/A,N/A,N/A
5050,Indian Summer,97 min,1993,23 Apr 1993,6.5,"4,686",58%,N/A,N/A
5051,Another Stakeout,108 min,1993,23 Jul 1993,5.5,"12,352",13%,N/A,N/A
5052,Fatal Instinct,91 min,1993,29 Oct 1993,5.7,"6,275",18%,N/A,N/A
5053,Man's Best Friend,87 min,1993,19 Nov 1993,5.1,"3,655",N/A,N/A,N/A
5054,Blankman,92 min,1994,19 Aug 1994,5.0,"8,643",13%,N/A,N/A
5055,Blink,106 min,1993,26 Jan 1994,6.2,"7,248",65%,N/A,N/A
5056,The Favor,97 min,1994,29 Apr 1994,5.3,"2,369",27%,51,N/A
5057,Jason's Lyric,119 min,1994,28 Sep 1994,6.6,"3,177",61%,N/A,N/A
5058,Trapped in Paradise,111 min,1994,02 Dec 1994,5.9,"11,555",10%,N/A,N/A
5059,Houseguest,113 min,1995,06 Jan 1995,6.0,"6,088",14%,N/A,N/A
5060,Bye Bye Love,106 min,1995,17 Mar 1995,6.1,"4,434",19%,N/A,N/A
5061,A Kid in King Arthur's Court,89 min,1995,11 Aug 1995,4.8,"5,289",5%,N/A,N/A
5062,Mad Love,93 min,1995,26 May 1995,5.3,"5,807",N/A,N/A,N/A
5063,Never Talk to Strangers,86 min,1995,20 Oct 1995,5.2,"5,914",15%,N/A,N/A
5064,Operation Dumbo Drop,107 min,1995,28 Jul 1995,5.0,"7,927",31%,N/A,N/A
5065,The Pebble and the Penguin,74 min,1995,12 Apr 1995,5.6,"4,052",11%,N/A,N/A
5066,Diabolique,107 min,1996,22 Mar 1996,5.4,"12,378",15%,N/A,N/A
5067,Ed,94 min,1996,15 Mar 1996,2.6,"7,884",0%,25,N/A
5068,Mr. Wrong,96 min,1996,16 Feb 1996,3.8,"4,655",7%,N/A,N/A
5069,Mary Reilly,108 min,1996,23 Feb 1996,5.8,"13,251",26%,44,N/A
5070,Unforgettable,117 min,1996,23 Feb 1996,6.0,"4,526",21%,N/A,N/A
5071,Fathers' Day,98 min,1997,09 May 1997,5.2,"13,786",25%,43,N/A
5072,McHale's Navy,108 min,1997,18 Apr 1997,4.4,"6,006",3%,18,N/A
5073,The Pest,84 min,1997,07 Feb 1997,5.0,"7,464",8%,N/A,N/A
5074,Turbulence,100 min,1997,10 Jan 1997,4.8,"10,014",17%,N/A,N/A
5075,Warriors of Virtue,101 min,1997,02 May 1997,4.6,"2,625",18%,N/A,N/A
5076,Dudley Do-Right,77 min,1999,27 Aug 1999,3.9,"9,134",16%,44,N/A
5077,Love Stinks,94 min,1999,10 Sep 1999,5.8,"4,668",19%,23,N/A
5078,The Next Best Thing,108 min,2000,03 Mar 2000,4.7,"10,178",19%,25,N/A
5079,Lost Souls,97 min,2000,13 Oct 2000,4.8,"10,022",8%,16,N/A
5080,Lucky Numbers,105 min,2000,27 Oct 2000,5.0,"9,395",22%,31,"$9,534,013"
5081,On the Line,85 min,2001,26 Oct 2001,4.1,"3,875",19%,34,N/A
5082,Good Boy!,87 min,2003,10 Oct 2003,5.1,"3,805",44%,49,"$37,566,230"
5083,Connie and Carla,98 min,2004,16 Apr 2004,6.3,"7,475",44%,44,"$7,976,065"
5084,Yu-Gi-Oh!: The Movie - Pyramid of Light,90 min,2004,13 Aug 2004,4.7,"7,380",5%,15,"$19,742,947"
5085,Kids in America,91 min,2005,21 Oct 2005,5.9,"2,545",N/A,38,N/A
5086,Underclassman,95 min,2005,02 Sep 2005,4.2,"5,260",6%,19,"$5,567,645"
5087,Slow Burn,93 min,2005,13 Apr 2007,5.8,"3,544",12%,34,"$1,181,197"
5088,How She Move,94 min,2007,25 Jan 2008,3.3,"4,733",65%,63,"$7,008,269"
5089,The Pirates Who Don't Do Anything: A VeggieTales Movie,85 min,2008,11 Jan 2008,5.7,"2,357",41%,49,"$12,701,880"
5090,Transylmania,92 min,2009,04 Dec 2009,3.9,"2,468",0%,8,N/A
5091,Escape from Tomorrow,90 min,2013,19 Jul 2014,5.2,"8,620",56%,58,"$169,719"
5092,C.O.G.,88 min,2013,20 Jan 2013,5.6,"3,373",68%,60,"$55,301"
5093,The Anniversary Party,115 min,2001,29 Jun 2001,6.3,"7,775",61%,56,"$2,974,308"
5094,Unspeakable,108 min,2002,01 Dec 2003,3.2,"1,114",N/A,N/A,N/A
5095,"Slap Her, She's French!",88 min,2002,07 Feb 2002,5.1,"5,189",36%,44,N/A
5096,Diamond Men,100 min,2000,01 Oct 2000,7.1,"1,483",81%,78,N/A
5097,The Man Who Sued God,97 min,2001,25 Oct 2001,6.5,"4,635",71%,N/A,N/A
5098,All Over the Guy,95 min,2001,07 Mar 2002,6.5,"4,279",43%,46,N/A
5099,Gun Shy,101 min,2000,09 Mar 2000,5.7,"6,624",24%,42,N/A
5100,City of Ghosts,116 min,2002,27 Mar 2003,6.0,"4,694",47%,57,"$275,998"
5101,"Love, Honor and Obey",103 min,2000,09 Feb 2001,6.5,"4,847",25%,23,N/A
5102,A Touch of Spice,108 min,2003,24 Oct 2003,7.6,"11,955",31%,48,N/A
5103,The Claim,120 min,2000,02 Feb 2001,6.5,"5,702",62%,62,N/A
5104,Guest House Paradiso,89 min,1999,03 Dec 1999,6.1,"8,581",N/A,N/A,N/A
5105,I'll Sleep When I'm Dead,103 min,2003,30 Apr 2004,5.8,"8,049",44%,56,"$212,359"
5106,Evelyn,94 min,2002,25 Dec 2002,7.0,"5,955",64%,55,"$1,341,151"
5107,Dirty Deeds,110 min,2002,18 Jul 2002,6.3,"3,038",64%,N/A,N/A
5108,Morvern Callar,97 min,2002,01 Nov 2002,6.8,"8,273",84%,78,N/A
5109,Better Than Sex,95 min,2000,09 Nov 2000,6.4,"2,064",48%,47,N/A
5110,WiseGirls,96 min,2002,06 Dec 2002,5.9,"2,726",N/A,N/A,N/A
5111,Repli-Kate,96 min,2002,29 Jan 2002,5.7,"4,747",N/A,N/A,N/A
5112,Panic,88 min,2000,26 Apr 2001,6.8,"7,506",91%,77,N/A
5113,Owning Mahowny,104 min,2003,25 Sep 2003,7.1,"11,859",79%,70,"$726,886"
5114,The Mating Habits of the Earthbound Human,88 min,1999,03 Sep 1999,6.4,"5,847",33%,26,N/A
5115,Committed,98 min,2000,14 Jul 2000,5.2,"3,505",45%,44,N/A
5116,The House of Mirth,135 min,2000,07 Mar 2001,7.1,"6,830",81%,78,N/A
5117,The Good Thief,109 min,2002,25 Apr 2003,6.6,"9,544",77%,68,"$3,416,785"
5118,The Sex Monster,97 min,1999,15 May 1999,5.3,"2,406",33%,N/A,N/A
5119,The Gathering,92 min,2002,15 May 2003,5.7,"7,264",N/A,N/A,N/A
5120,Fubar,76 min,2002,21 May 2004,7.1,"3,835",58%,N/A,N/A
5121,Waking Up in Reno,91 min,2002,13 Dec 2002,5.5,"5,418",13%,28,N/A
5122,Beyond Re-Animator,96 min,2003,25 Jul 2003,5.9,"10,147",45%,N/A,N/A
5123,There's Only One Jimmy Grimble,106 min,2000,25 Aug 2000,6.6,"3,364",71%,N/A,N/A
5124,Invincible,133 min,2001,17 Jan 2002,6.5,"3,826",54%,55,N/A
5125,Ticker,92 min,2001,23 Jun 2001,3.6,"6,291",N/A,N/A,N/A
5126,Trick,89 min,1999,23 Jul 1999,7.2,"7,755",78%,N/A,N/A
5127,A Simple Twist of Fate,106 min,1994,02 Sep 1994,6.3,"4,725",43%,N/A,N/A
5128,Wicked,88 min,1998,17 Jan 1998,5.2,"2,752",N/A,N/A,N/A
5129,Leprechaun 2,85 min,1994,08 Apr 1994,4.5,"7,823",0%,N/A,N/A
5130,Hideous Kinky,98 min,1998,13 Jan 1999,6.1,"6,015",65%,N/A,N/A
5131,Body Count,85 min,1998,28 Apr 1998,5.5,"1,693",N/A,N/A,N/A
5132,Twin Town,99 min,1997,09 May 1997,6.7,"5,259",46%,N/A,N/A
5133,Little Boy Blue,105 min,1997,01 Aug 1998,6.4,"1,920",25%,N/A,N/A
5134,Crying Freeman,102 min,1995,24 Apr 1996,6.5,"10,853",N/A,N/A,N/A
5135,Immortality,98 min,1998,01 May 2000,6.3,"5,428",47%,58,N/A
5136,Your Friends & Neighbors,100 min,1998,21 Aug 1998,6.4,"7,347",77%,70,N/A
5137,Going All the Way,103 min,1997,19 Sep 1997,5.7,"1,745",68%,N/A,N/A
5138,I Think I Do,90 min,1997,10 Apr 1998,6.8,"1,455",N/A,N/A,N/A
5139,Still Crazy,95 min,1998,22 Jan 1999,7.1,"7,147",73%,N/A,N/A
5140,Drive,100 min,1997,06 Aug 1997,6.9,"4,852",N/A,N/A,N/A
5141,Last Night,95 min,1998,23 Oct 1998,7.2,"8,843",84%,65,N/A
5142,Next Stop Wonderland,104 min,1998,21 Aug 1998,6.7,"4,467",75%,71,N/A
5143,Firestorm,89 min,1998,09 Jan 1998,4.7,"3,498",12%,N/A,N/A
5144,Mystery Science Theater 3000: The Movie,73 min,1996,21 Jun 1996,7.3,"17,125",80%,65,N/A
5145,Little Odessa,98 min,1994,19 May 1995,6.8,"6,646",61%,62,N/A
5146,Blood and Wine,101 min,1996,21 Feb 1997,6.0,"8,494",61%,N/A,N/A
5147,Lawn Dogs,101 min,1997,15 May 1998,7.6,"6,905",72%,N/A,N/A
5148,Angels and Insects,116 min,1995,26 Jan 1996,7.0,"4,234",71%,N/A,N/A
5149,Party Girl,94 min,1995,09 Jun 1995,6.6,"4,056",78%,55,N/A
5150,Fall,93 min,1997,20 Jun 1997,6.1,"1,620",0%,N/A,N/A
5151,Free Money,91 min,1998,03 Dec 1998,5.0,"2,528",29%,N/A,N/A
5152,Space Truckers,95 min,1996,01 Apr 1997,5.2,"6,153",8%,N/A,N/A
5153,Guyver: Dark Hero,127 min,1994,20 Apr 1994,6.0,"2,885",N/A,N/A,N/A
5154,Welcome to Sarajevo,103 min,1997,26 Nov 1997,6.8,"6,509",80%,72,N/A
5155,Phantasm IV: Oblivion,90 min,1998,13 Oct 1998,5.7,"5,848",25%,N/A,N/A
5156,All Over Me,86 min,1997,16 Jul 1997,6.6,"2,996",85%,N/A,N/A
5157,Clownhouse,81 min,1989,20 Jul 1990,5.7,"3,968",40%,N/A,N/A
5158,Whore,85 min,1991,18 Oct 1991,5.6,"3,162",46%,N/A,N/A
5159,House of Cards,109 min,1993,25 Jun 1993,6.3,"2,429",N/A,N/A,N/A
5160,Two Evil Eyes,120 min,1990,25 Oct 1991,6.1,"5,348",59%,61,N/A
5161,Last Exit to Brooklyn,102 min,1989,04 May 1990,6.8,"5,290",78%,N/A,N/A
5162,The Rapture,100 min,1991,04 Oct 1991,6.4,"4,551",66%,N/A,N/A
5163,Cadence,97 min,1990,15 Feb 1991,6.5,"4,915",42%,N/A,N/A
5164,Doppelganger,104 min,1993,23 Oct 1993,4.3,"3,020",N/A,N/A,N/A
5165,One False Move,105 min,1992,08 May 1992,7.2,"8,887",96%,87,N/A
5166,Life Is Sweet,103 min,1990,01 Dec 1991,7.5,"7,904",92%,88,N/A
5167,Waterland,95 min,1992,30 Oct 1992,6.7,"1,965",53%,N/A,N/A
5168,The Mambo Kings,104 min,1992,28 Feb 1992,6.5,"4,772",81%,N/A,N/A
5169,American Flyers,113 min,1985,16 Aug 1985,6.4,"5,214",65%,50,N/A
5170,"Silent Night, Deadly Night",79 min,1984,09 Nov 1984,5.9,"12,038",24%,31,N/A
5171,Desert Hearts,91 min,1985,07 Mar 1986,7.0,"4,356",100%,N/A,N/A
5172,Street Trash,91 min,1987,09 May 1987,6.1,"7,954",67%,N/A,N/A
5173,Cop,110 min,1988,11 Mar 1988,6.4,"3,663",81%,N/A,N/A
5174,Fraternity Vacation,94 min,1985,12 Apr 1985,5.0,"1,906",N/A,N/A,N/A
5175,Return of the Killer Tomatoes!,98 min,1988,22 Apr 1988,5.2,"6,247",0%,N/A,N/A
5176,The Jazz Singer,115 min,1980,19 Dec 1980,5.8,"3,435",15%,37,N/A
5177,Betrayal,95 min,1983,20 Feb 1983,7.3,"1,254",86%,N/A,N/A
5178,Gloria,123 min,1980,01 Oct 1980,7.1,"7,263",92%,N/A,N/A
5179,Foxes,106 min,1980,29 Feb 1980,6.1,"3,475",67%,N/A,N/A
5180,Zorro: The Gay Blade,93 min,1981,17 Jul 1981,6.1,"3,701",43%,52,N/A
5181,The Watcher in the Woods,84 min,1980,09 Oct 1981,6.4,"4,920",45%,N/A,N/A
5182,Making Love,113 min,1982,05 Mar 1982,6.8,"2,214",31%,N/A,N/A
5183,Pennies from Heaven,108 min,1981,01 Jan 1982,6.5,"4,809",85%,N/A,N/A
5184,Screwballs,80 min,1983,01 Apr 1983,4.7,"2,473",N/A,34,N/A
5185,Midnight Madness,112 min,1980,08 Feb 1980,6.5,"2,883",N/A,N/A,N/A
5186,Galaxy of Terror,81 min,1981,01 Oct 1981,5.1,"5,641",33%,38,N/A
5187,The People That Time Forgot,91 min,1977,17 Aug 1977,5.4,"2,443",50%,N/A,N/A
5188,The Town That Dreaded Sundown,90 min,1976,24 Dec 1976,6.1,"6,019",40%,N/A,N/A
5189,Tom Sawyer,103 min,1973,15 Mar 1973,6.5,"1,819",N/A,N/A,N/A
5190,Mahogany,109 min,1975,01 Mar 1976,6.2,"1,516",29%,N/A,N/A
5191,The Four Musketeers: Milady's Revenge,108 min,1974,26 Feb 1975,7.1,"8,983",80%,N/A,N/A
5192,Female Trouble,89 min,1974,28 Mar 1984,7.3,"6,976",88%,N/A,N/A
5193,The Little Prince,88 min,1974,07 Nov 1974,6.5,"3,015",N/A,N/A,N/A
5194,Electra Glide in Blue,114 min,1973,04 Oct 1973,7.2,"4,269",60%,N/A,N/A
5195,The Laughing Policeman,112 min,1973,23 Jan 1974,6.4,"2,197",58%,N/A,N/A
5196,Horror Express,88 min,1972,01 Dec 1973,6.6,"7,770",67%,68,N/A
5197,The Adventure of Sherlock Holmes' Smarter Brother,91 min,1975,14 Dec 1975,6.1,"5,794",N/A,N/A,N/A
5198,The Seven-Per-Cent Solution,113 min,1976,01 May 1977,6.8,"3,901",82%,N/A,N/A
5199,Sinbad and the Eye of the Tiger,113 min,1977,14 Jul 1977,6.4,"6,131",63%,N/A,N/A
5200,Stroszek,115 min,1977,12 Jul 1977,8.0,"11,537",94%,N/A,N/A
5201,Telefon,102 min,1977,16 Dec 1977,6.6,"4,591",33%,N/A,N/A
5202,Bronco Billy,116 min,1980,11 Jun 1980,6.1,"9,773",78%,66,N/A
5203,Eyes of Laura Mars,104 min,1978,02 Aug 1978,6.1,"7,605",48%,N/A,N/A
5204,Scavenger Hunt,116 min,1979,21 Dec 1979,6.0,"2,261",N/A,N/A,N/A
5205,Honkytonk Man,122 min,1982,15 Dec 1982,6.6,"7,199",93%,50,N/A
5206,Megaforce,99 min,1982,25 Jun 1982,3.5,"2,954",0%,N/A,N/A
5207,My Favorite Year,92 min,1982,08 Oct 1982,7.4,"7,931",96%,N/A,N/A
5208,Amityville 3-D,105 min,1983,18 Nov 1983,4.1,"5,111",5%,28,N/A
5209,Gorky Park,128 min,1983,16 Dec 1983,6.8,"11,312",78%,N/A,N/A
5210,A Night in Heaven,83 min,1983,18 Nov 1983,4.2,"1,051",N/A,N/A,N/A
5211,Smokey and the Bandit Part 3,85 min,1983,12 Aug 1983,3.4,"7,471",20%,N/A,N/A
5212,Bolero,105 min,1984,31 Aug 1984,2.9,"4,665",0%,N/A,N/A
5213,Firstborn,103 min,1984,26 Oct 1984,6.2,"1,899",N/A,56,N/A
5214,Tank,113 min,1984,16 Mar 1984,5.7,"3,585",N/A,N/A,N/A
5215,The Wild Life,96 min,1984,28 Sep 1984,6.1,"2,139",N/A,N/A,N/A
5216,Invasion U.S.A.,107 min,1985,27 Sep 1985,5.4,"7,770",18%,29,N/A
5217,Murphy's Romance,107 min,1985,31 Jan 1986,7.0,"4,976",72%,N/A,N/A
5218,One Magic Christmas,89 min,1985,22 Nov 1985,6.6,"2,725",47%,N/A,N/A
5219,Perfect,115 min,1985,07 Jun 1985,4.3,"4,174",19%,46,N/A
5220,Follow That Bird,88 min,1985,02 Aug 1985,6.8,"4,231",92%,N/A,N/A
5221,Extremities,89 min,1986,22 Aug 1986,6.3,"3,062",44%,N/A,N/A
