,Title,Runtime (mins),Year,Release Date,IMDb Rating,Num Votes,Rotten Tomatoes Rating,Metascore,Box Office
120,Trance,101 min,2013,27 Mar 2013,6.9,"104,723",68%,61,"$4,856,227"
121,Side Effects,106 min,2013,08 Feb 2013,7.1,"168,802",82%,75,"$32,154,410"
122,Spring Breakers,94 min,2012,22 Mar 2013,5.3,"126,616",66%,63,"$13,900,000"
123,The Incredible Burt Wonderstone,100 min,2013,15 Mar 2013,5.9,"67,618",37%,44,"$22,525,921"
124,Disconnect,115 min,2012,05 Jul 2013,7.5,"69,969",70%,64,"$1,400,000"
125,Mud,130 min,2012,10 May 2013,7.4,"156,507",97%,76,"$21,589,307"
126,The Company You Keep,125 min,2012,26 Apr 2013,6.4,"29,691",54%,57,"$5,132,442"
127,Olympus Has Fallen,119 min,2013,22 Mar 2013,6.5,"235,025",49%,41,"$98,600,000"
128,The Place Beyond the Pines,140 min,2012,19 Apr 2013,7.3,"226,993",80%,68,"$21,300,000"
129,G.I. Joe: Retaliation,110 min,2013,28 Mar 2013,5.8,"165,662",29%,41,"$122,512,052"
130,The Croods,98 min,2013,22 Mar 2013,7.2,"176,826",71%,55,"$187,165,546"
131,A Haunted House,86 min,2013,11 Jan 2013,5.1,"40,347",10%,20,"$32,536,865"
132,World War Z,116 min,2013,21 Jun 2013,7.0,"554,709",66%,63,"$202,351,611"
133,Oblivion,124 min,2013,19 Apr 2013,7.0,"452,990",53%,54,"$89,021,735"
134,Ender's Game,114 min,2013,01 Nov 2013,6.6,"211,871",61%,51,"$61,656,849"
135,The Hobbit: The Desolation of Smaug,161 min,2013,13 Dec 2013,7.8,"565,965",74%,66,"$180,443,783"
136,Man of Steel,143 min,2013,14 Jun 2013,7.1,"646,109",56%,55,"$291,021,565"
137,Pacific Rim,131 min,2013,12 Jul 2013,6.9,"444,011",72%,65,"$101,785,482"
138,The Hunger Games: Catching Fire,146 min,2013,22 Nov 2013,7.5,"575,816",89%,76,"$336,663,349"
139,The Lone Ranger,150 min,2013,03 Jul 2013,6.4,"209,185",31%,37,"$89,289,910"
140,The Wolverine,126 min,2013,26 Jul 2013,6.7,"400,154",71%,61,"$132,550,960"
141,Elysium,109 min,2013,09 Aug 2013,6.6,"395,987",66%,61,"$90,800,000"
142,After Earth,100 min,2013,31 May 2013,4.8,"181,407",11%,33,"$60,522,097"
143,Iron Man 3,130 min,2013,03 May 2013,7.2,"693,723",79%,62,"$408,992,272"
144,This Is the End,107 min,2013,12 Jun 2013,6.6,"360,821",83%,67,"$96,200,000"
145,R.I.P.D.,96 min,2013,19 Jul 2013,5.6,"108,858",13%,25,"$33,500,000"
146,Thor: The Dark World,112 min,2013,08 Nov 2013,6.9,"540,844",66%,54,"$206,360,018"
147,Star Trek Into Darkness,132 min,2013,16 May 2013,7.7,"445,862",84%,72,"$228,756,232"
148,Now You See Me,115 min,2013,31 May 2013,7.3,"551,997",50%,50,"$117,698,894"
149,The Hangover Part III,100 min,2013,23 May 2013,5.8,"270,632",20%,30,"$112,200,000"
150,Kick-Ass 2,103 min,2013,16 Aug 2013,6.6,"238,376",32%,41,"$28,800,000"
151,The Lords of Salem,101 min,2012,18 Apr 2013,5.1,"24,952",45%,57,"$1,000,000"
152,Iron Sky,93 min,2012,04 Apr 2012,5.9,"87,580",38%,N/A,"$66,076"
153,The Impossible,114 min,2012,04 Jan 2013,7.6,"178,066",81%,73,"$18,996,755"
154,Filly Brown,80 min,2012,19 Apr 2013,5.7,985,42%,57,"$2,818,020"
155,Antiviral,108 min,2012,13 Feb 2013,5.7,"11,044",66%,55,N/A
156,Anna Karenina,129 min,2012,07 Sep 2012,6.6,"84,735",63%,63,"$12,802,907"
157,The Cloth,88 min,2013,02 Jul 2013,2.5,"1,713",N/A,N/A,N/A
158,What Richard Did,88 min,2012,05 Oct 2012,6.3,"4,301",91%,80,N/A
159,Stand Up Guys,95 min,2012,01 Feb 2013,6.5,"50,600",37%,41,"$3,301,046"
160,Tomorrow You're Gone,93 min,2012,01 Nov 2012,3.8,"1,538",7%,19,N/A
161,Not Fade Away,112 min,2012,19 Jul 2013,6.0,"4,100",71%,65,"$605,747"
162,Any Day Now,98 min,2012,06 Sep 2013,7.5,"5,442",78%,60,"$200,002"
163,Under the Bed,87 min,2012,03 Jul 2013,4.6,"2,462",40%,N/A,N/A
164,Outback,85 min,2012,12 Jan 2012,4.7,820,N/A,N/A,N/A
165,The Boondock Saints,108 min,1999,19 Nov 1999,7.8,"217,185",22%,44,N/A
166,The Evil Dead,85 min,1981,15 Apr 1983,7.5,"169,677",95%,71,N/A
167,42,128 min,2013,12 Apr 2013,7.5,"77,678",80%,62,"$95,001,343"
168,Evil Dead,91 min,2013,05 Apr 2013,6.5,"146,593",63%,57,"$54,200,000"
169,Scary Movie 5,86 min,2013,12 Apr 2013,3.5,"60,003",4%,11,"$32,014,289"
170,Broken City,109 min,2013,18 Jan 2013,6.2,"71,446",29%,49,"$19,600,000"
171,Gangster Squad,113 min,2013,11 Jan 2013,6.7,"195,529",32%,40,"$45,996,718"
172,Fast & Furious 6,130 min,2013,24 May 2013,7.1,"346,202",70%,61,"$238,700,000"
173,Pain & Gain,129 min,2013,26 Apr 2013,6.4,"187,970",51%,45,"$49,300,000"
174,The Numbers Station,89 min,2013,26 Apr 2013,5.6,"18,315",30%,39,N/A
175,Mama,100 min,2013,18 Jan 2013,6.2,"158,261",65%,57,"$71,588,220"
176,Pawn,88 min,2013,19 Sep 2013,5.7,"6,568",N/A,N/A,"$2,137"
177,300: Rise of an Empire,102 min,2014,07 Mar 2014,6.2,"263,324",44%,48,"$91,024,535"
178,Temptation: Confessions of a Marriage Counselor,111 min,2013,29 Mar 2013,5.0,"10,983",15%,26,"$51,935,916"
179,The Way Way Back,103 min,2013,26 Jul 2013,7.4,"132,741",84%,68,"$21,501,098"
180,Grown Ups 2,101 min,2013,12 Jul 2013,5.4,"128,349",7%,19,"$127,400,000"
181,Dark Skies,97 min,2013,22 Feb 2013,6.3,"65,840",41%,50,"$17,411,930"
182,Assassins Run,88 min,2013,23 Apr 2013,4.3,"1,306",N/A,N/A,N/A
183,Percy Jackson: Sea of Monsters,106 min,2013,07 Aug 2013,5.8,"102,433",42%,39,"$68,558,662"
184,The Bling Ring,90 min,2013,21 Jun 2013,5.6,"77,829",59%,66,"$5,500,000"
185,Identity Thief,111 min,2013,08 Feb 2013,5.7,"115,758",19%,35,"$134,455,175"
186,The Big Wedding,89 min,2013,26 Apr 2013,5.6,"44,076",7%,28,"$21,500,000"
187,Welcome to the Punch,99 min,2013,15 Mar 2013,6.1,"30,510",48%,49,"$6,787"
188,Only God Forgives,90 min,2013,22 May 2013,5.7,"100,129",41%,37,"$700,000"
189,Devils of War,74 min,2013,15 Apr 2013,2.0,359,N/A,N/A,N/A
190,Movie 43,94 min,2013,25 Jan 2013,4.3,"92,937",5%,18,"$8,700,000"
191,The Haunting in Connecticut 2: Ghosts of Georgia,100 min,2013,14 Mar 2013,5.3,"15,205",19%,26,N/A
192,The Call,94 min,2013,15 Mar 2013,6.7,"103,567",45%,51,N/A
193,Crush,94 min,2013,13 Mar 2013,5.7,"5,023",N/A,N/A,N/A
194,Hansel & Gretel: Witch Hunters,88 min,2013,25 Jan 2013,6.1,"183,545",15%,23,"$55,000,000"
195,The Purge,85 min,2013,07 Jun 2013,5.7,"183,042",39%,41,"$64,400,000"
196,Snitch,112 min,2013,22 Feb 2013,6.5,"78,118",56%,51,"$42,908,315"
197,The Godfather: Part II,202 min,1974,20 Dec 1974,9.0,"1,005,269",97%,90,N/A
198,One Flew Over the Cuckoo's Nest,133 min,1975,19 Nov 1975,8.7,"833,482",94%,83,N/A
199,Star Wars: Episode V - The Empire Strikes Back,124 min,1980,20 Jun 1980,8.7,"1,054,286",95%,82,"$4,548,170"
200,Raiders of the Lost Ark,115 min,1981,12 Jun 1981,8.5,"812,589",95%,85,N/A
201,Apocalypse Now,147 min,1979,15 Aug 1979,8.5,"546,723",97%,94,N/A
